Codi,Barris ,2020,2019
1,el Raval  ,"833,87","850,11"
2,el Barri Gòtic  ,"1.035,78","1.097,29"
3,la Barceloneta  ,"867,95","895,90"
4,"Sant Pere, Santa Caterina i la Ribera  ","954,48","996,35"
5,el Fort Pienc  ,"1.003,12","1.012,41"
6,la Sagrada Família  ,"942,09","960,21"
7,la Dreta de l'Eixample  ,"1.273,50","1.307,62"
8,l'Antiga Esquerra de l'Eixample  ,"1.155,78","1.162,32"
9,la Nova Esquerra de l'Eixample  ,"1.034,15","1.053,83"
10,Sant Antoni  ,"971,88","994,91"
11,el Poble Sec - AEI Parc Montjuïc  ,"827,43","837,05"
12,la Marina del Prat Vermell - AEI Zona Franca  ,nd,"374,35"
13,la Marina de Port  ,"787,09","766,25"
14,la Font de la Guatlla  ,"859,28","865,92"
15,Hostafrancs  ,"852,27","830,56"
16,la Bordeta  ,"861,80","851,22"
17,Sants - Badal  ,"845,39","851,58"
18,Sants  ,"874,47","877,79"
19,les Corts  ,"1.060,71","1.097,24"
20,la Maternitat i Sant Ramon  ,"992,69","1.009,21"
21,Pedralbes  ,"1.718,24","1.860,56"
22,"Vallvidrera, el Tibidabo i les Planes  ","1.233,07","1.205,65"
23,Sarrià  ,"1.366,24","1.375,10"
24,les Tres Torres  ,"1.696,12","1.657,03"
25,Sant Gervasi - la Bonanova  ,"1.301,13","1.304,34"
26,Sant Gervasi - Galvany  ,"1.362,28","1.397,27"
27,el Putxet i el Farró  ,"1.056,08","1.086,42"
28,Vallcarca i els Penitents  ,"982,49","972,22"
29,el Coll  ,"809,27","801,98"
30,la Salut  ,"967,26","918,31"
31,la Vila de Gràcia  ,"953,38","962,95"
32,el Camp d'en Grassot i Gràcia Nova  ,"953,07","983,36"
33,el Baix Guinardó  ,"890,50","882,01"
34,Can Baró  ,"787,71","769,06"
35,el Guinardó  ,"822,90","819,05"
36,la Font d'en Fargues  ,"918,15","885,61"
37,el Carmel  ,"687,01","685,10"
38,la Teixonera  ,"718,38","738,87"
39,Sant Genís dels Agudells  ,"730,91","738,54"
40,Montbau  ,"784,56","793,93"
41,la Vall d'Hebron  ,"890,04","864,65"
42,la Clota  ,"589,84","666,18"
43,Horta  ,"785,02","782,94"
44,Vilapicina i la Torre Llobeta  ,"797,45","781,73"
45,Porta  ,"724,30","751,42"
46,el Turó de la Peira  ,"695,70","697,25"
47,Can Peguera  ,"365,56","419,43"
48,la Guineueta  ,"737,89","744,16"
49,Canyelles  ,"769,17","752,08"
50,les Roquetes  ,"638,83","621,17"
51,Verdun  ,"660,43","663,40"
52,la Prosperitat  ,"700,88","684,40"
53,la Trinitat Nova  ,"586,57","606,73"
54,Torre Baró  ,"525,89","471,76"
55,Ciutat Meridiana  ,"539,42","562,08"
56,Vallbona  ,"584,06","581,97"
57,la Trinitat Vella  ,"639,68","602,88"
58,Baró de Viver  ,"581,90","486,20"
59,el Bon Pastor  ,"726,61","685,57"
60,Sant Andreu  ,"810,03","805,29"
61,la Sagrera  ,"783,89","817,35"
62,el Congrés i els Indians  ,"804,95","793,43"
63,Navas  ,"864,07","853,36"
64,el Camp de l'Arpa del Clot  ,"862,83","856,00"
65,el Clot  ,"872,09","856,54"
66,el Parc i la Llacuna del Poblenou  ,"974,32","1.014,72"
67,la Vila Olímpica del Poblenou  ,"1.376,59","1.361,65"
68,el Poblenou  ,"1.002,82","1.004,72"
69,Diagonal Mar i el Front Marítim del Poblenou  ,"1.171,57","1.372,38"
70,el Besòs i el Maresme  ,"752,38","738,08"
71,Provençals del Poblenou  ,"957,52","982,03"
72,Sant Martí de Provençals  ,"832,09","837,58"
73,la Verneda i la Pau  ,"771,15","778,41"
