name,fips,temp,alt,male,female,pop,suicides,firearm_suicides,homicides,vehicle_deaths,labor_force,employed,unemployed,life_expectancy,avg_income,less_highschool,plus_bachelors,poverty_rate,medical_costs,food_costs,housing_costs,tax_costs,poor_health,smokers,adult_obesity,housing_problems,children_in_poverty,uninsured,excessive_drinking
hampshire county,25015,46.3,284.3,75022,85808,160830,13.333333333333334,3.761904761904762,1.0476190476190477,10.19047619047619,85661,79477,6184,80.76,52984,5.3,48.3,11.1,3048,3690,8844,4003,13.560938149,16.08669768,21.4,16.408642395,9.9,2.8330099507,22.53609655
suffolk county,25025,51,15.8,388110,415797,803907,43.19047619047619,7.0476190476190474,54.04761904761905,34.76190476190476,446558,403388,43170,79.89,81152,13.7,46.1,16.7,3048,3690,20580,5906,17.767631798,15.753367146,21.4,24.465300074,23.9,4.4117979433,22.992336124
barnstable county,25001,50.4,15.6,101791,111199,212990,26.38095238095238,6.142857142857143,2.4285714285714284,21.857142857142858,108128,97073,11055,80.75,74756,4.5,43.4,6.5,3048,3690,11832,4488,12.689105751,16.125400584,22.5,17.098200189,10.1,3.7467753444,26.45436786
worcester county,25027,46.9,215.2,409610,421012,830622,68.95238095238095,18.333333333333332,13.666666666666666,65.57142857142857,432005,394081,37924,79.66,57003,9.3,36.4,9.4,3048,3690,11052,4361,14.734056343,17.61507813,28.3,15.868943541,11.9,3.0763981522,22.084049445
nantucket county,25019,50,13.7,5856,5543,11399,1.2857142857142858,NA,NA,NA,7664,6873,791,81.6,124168,4.4,52.8,5.5,3048,3690,14976,4997,12.000661661,13.159836977,25.1,19.946808511,5.8,4.4472152951,23.584833249
dukes county,25007,50.6,21.2,8545,8787,17332,1.7142857142857142,0.5714285714285714,NA,1.2857142857142858,9517,8640,877,82.05,93726,5.2,44.9,7.3,3048,3690,13512,4760,12.473514189,15.311994295,28.4,24.429967427,11.6,3.8514653982,25.649048035
hampden county,25013,47.3,158.6,225252,241120,466372,43.714285714285715,13,20.857142857142858,42.333333333333336,220259,197372,22887,78.85,51187,14.2,27.1,13.8,3048,3690,8844,4003,19.066287969,18.52086817,30.5,18.850947298,20.2,3.8065372218,22.958859591
berkshire county,25003,45.6,354.1,60406,64538,124944,14.761904761904765,4.523809523809524,2.3333333333333335,15.476190476190476,61645,56016,5629,80.12,56503,8.7,33.6,11.2,3048,3690,9662,4136,15.116721704,18.631535533,26.7,14.655407246,16.3,3.4565525294,26.358057469
bristol county,25005,50.3,25.7,273426,291791,565217,50.80952380952381,11.61904761904762,12.666666666666666,53.76190476190476,293532,263456,30076,79.2,54089,14.3,28.7,11.3,3048,3690,9813,4160,16.076843095,19.484053979,28.7,16.829160974,16,3.714741116,24.003775321
middlesex county,25017,49.1,50.9,789545,822154,1611699,111.71428571428572,19.666666666666668,17.523809523809526,75.14285714285714,882398,818205,64193,81.63,83795,6.6,56.3,6.9,3048,3690,19138,5672,11.118375484,12.328644303,21.6,16.064737237,7.1,2.7642732133,22.731890721
essex county,25009,49.1,26.4,380330,408704,789034,61.04761904761905,13.571428571428571,14.714285714285714,46.95238095238095,414660,374075,40585,80.51,67507,10.7,39.9,8.8,3048,3690,17951,5479,14.791108115,14.964390523,26.1,18.777000617,11.9,3.8148389596,24.814037758
norfolk county,25021,49.4,48.9,340263,366512,706775,50.42857142857143,8.80952380952381,6.904761904761905,40.095238095238095,380061,348328,31733,81.38,92285,6.1,53.6,5.8,3048,3690,20301,5861,11.445991011,13.240863373,24.6,15.109120366,5.5,2.3830254227,22.177279538
plymouth county,25023,50.1,24.4,253241,267961,521202,43.61904761904762,10.238095238095235,12.095238095238097,45.142857142857146,276733,250579,26154,79.63,67505,7.1,37.6,7.4,3048,3690,16529,5249,13.720000826,16.603165986,27.3,15.50802139,9.3,2.7662725787,25.691151421
franklin county,25011,45.8,204.9,34171,36009,70180,7.476190476190476,2.5714285714285716,0.6666666666666666,6.380952380952381,39501,36565,2936,80.27,54689,6.7,37.3,9.3,3048,3690,10104,4207,14.809063968,18.212868782,28.4,15.896427401,11.5,3.0413803188,23.212837046
