codigo_estacion|fecha|contaminante|unidades|valor
17001002|01/08/2020 0:00|O3|µg/m3|45
17001002|01/08/2020 1:00|O3|µg/m3|54
17001002|01/08/2020 2:00|O3|µg/m3|53
17001002|01/08/2020 3:00|O3|µg/m3|49
17001002|01/08/2020 4:00|O3|µg/m3|36
17001002|01/08/2020 5:00|O3|µg/m3|42
17001002|01/08/2020 6:00|O3|µg/m3|55
17001002|01/08/2020 7:00|O3|µg/m3|63
17001002|01/08/2020 8:00|O3|µg/m3|59
17001002|01/08/2020 9:00|O3|µg/m3|71
17001002|01/08/2020 10:00|O3|µg/m3|95
17001002|01/08/2020 11:00|O3|µg/m3|108
17001002|01/08/2020 12:00|O3|µg/m3|111
17001002|01/08/2020 13:00|O3|µg/m3|126
17001002|01/08/2020 14:00|O3|µg/m3|127
17001002|01/08/2020 15:00|O3|µg/m3|123
17001002|01/08/2020 16:00|O3|µg/m3|126
17001002|01/08/2020 17:00|O3|µg/m3|92
17001002|01/08/2020 18:00|O3|µg/m3|80
17001002|01/08/2020 19:00|O3|µg/m3|74
17001002|01/08/2020 20:00|O3|µg/m3|72
17001002|01/08/2020 21:00|O3|µg/m3|61
17001002|01/08/2020 22:00|O3|µg/m3|62
17001002|01/08/2020 23:00|O3|µg/m3|61
17001002|02/08/2020 0:00|O3|µg/m3|56
17001002|02/08/2020 1:00|O3|µg/m3|55
17001002|02/08/2020 2:00|O3|µg/m3|53
17001002|02/08/2020 3:00|O3|µg/m3|51
17001002|02/08/2020 4:00|O3|µg/m3|49
17001002|02/08/2020 5:00|O3|µg/m3|46
17001002|02/08/2020 6:00|O3|µg/m3|44
17001002|02/08/2020 7:00|O3|µg/m3|44
17001002|02/08/2020 8:00|O3|µg/m3|43
17001002|02/08/2020 9:00|O3|µg/m3|43
17001002|02/08/2020 10:00|O3|µg/m3|48
17001002|02/08/2020 11:00|O3|µg/m3|53
17001002|02/08/2020 12:00|O3|µg/m3|54
17001002|02/08/2020 13:00|O3|µg/m3|53
17001002|02/08/2020 14:00|O3|µg/m3|55
17001002|02/08/2020 15:00|O3|µg/m3|52
17001002|02/08/2020 16:00|O3|µg/m3|51
17001002|02/08/2020 17:00|O3|µg/m3|50
17001002|02/08/2020 18:00|O3|µg/m3|51
17001002|02/08/2020 19:00|O3|µg/m3|51
17001002|02/08/2020 20:00|O3|µg/m3|53
17001002|02/08/2020 21:00|O3|µg/m3|52
17001002|02/08/2020 22:00|O3|µg/m3|53
17001002|02/08/2020 23:00|O3|µg/m3|54
17001002|03/08/2020 0:00|O3|µg/m3|57
17001002|03/08/2020 1:00|O3|µg/m3|59
17001002|03/08/2020 2:00|O3|µg/m3|59
17001002|03/08/2020 3:00|O3|µg/m3|58
17001002|03/08/2020 4:00|O3|µg/m3|57
17001002|03/08/2020 5:00|O3|µg/m3|57
17001002|03/08/2020 6:00|O3|µg/m3|58
17001002|03/08/2020 7:00|O3|µg/m3|58
17001002|03/08/2020 8:00|O3|µg/m3|57
17001002|03/08/2020 9:00|O3|µg/m3|56
17001002|03/08/2020 10:00|O3|µg/m3|57
17001002|03/08/2020 11:00|O3|µg/m3|57
17001002|03/08/2020 12:00|O3|µg/m3|59
17001002|03/08/2020 13:00|O3|µg/m3|60
17001002|03/08/2020 14:00|O3|µg/m3|65
17001002|03/08/2020 15:00|O3|µg/m3|69
17001002|03/08/2020 16:00|O3|µg/m3|71
17001002|03/08/2020 17:00|O3|µg/m3|71
17001002|03/08/2020 18:00|O3|µg/m3|74
17001002|03/08/2020 19:00|O3|µg/m3|78
17001002|03/08/2020 20:00|O3|µg/m3|76
17001002|03/08/2020 21:00|O3|µg/m3|75
17001002|03/08/2020 22:00|O3|µg/m3|74
17001002|03/08/2020 23:00|O3|µg/m3|72
17001002|04/08/2020 0:00|O3|µg/m3|70
17001002|04/08/2020 1:00|O3|µg/m3|68
17001002|04/08/2020 2:00|O3|µg/m3|64
17001002|04/08/2020 3:00|O3|µg/m3|59
17001002|04/08/2020 4:00|O3|µg/m3|56
17001002|04/08/2020 5:00|O3|µg/m3|53
17001002|04/08/2020 6:00|O3|µg/m3|51
17001002|04/08/2020 7:00|O3|µg/m3|51
17001002|04/08/2020 8:00|O3|µg/m3|51
17001002|04/08/2020 9:00|O3|µg/m3|53
17001002|04/08/2020 10:00|O3|µg/m3|55
17001002|04/08/2020 11:00|O3|µg/m3|56
17001002|04/08/2020 12:00|O3|µg/m3|58
17001002|04/08/2020 13:00|O3|µg/m3|61
17001002|04/08/2020 14:00|O3|µg/m3|63
17001002|04/08/2020 15:00|O3|µg/m3|65
17001002|04/08/2020 16:00|O3|µg/m3|66
17001002|04/08/2020 17:00|O3|µg/m3|67
17001002|04/08/2020 18:00|O3|µg/m3|68
17001002|04/08/2020 19:00|O3|µg/m3|69
17001002|04/08/2020 20:00|O3|µg/m3|70
17001002|04/08/2020 21:00|O3|µg/m3|74
17001002|04/08/2020 22:00|O3|µg/m3|79
17001002|04/08/2020 23:00|O3|µg/m3|81
17001002|05/08/2020 0:00|O3|µg/m3|82
17001002|05/08/2020 1:00|O3|µg/m3|83
17001002|05/08/2020 2:00|O3|µg/m3|82
17001002|05/08/2020 3:00|O3|µg/m3|83
17001002|05/08/2020 4:00|O3|µg/m3|83
17001002|05/08/2020 5:00|O3|µg/m3|82
17001002|05/08/2020 6:00|O3|µg/m3|81
17001002|05/08/2020 7:00|O3|µg/m3|81
17001002|05/08/2020 8:00|O3|µg/m3|80
17001002|05/08/2020 9:00|O3|µg/m3|81
17001002|05/08/2020 10:00|O3|µg/m3|79
17001002|05/08/2020 11:00|O3|µg/m3|0
17001002|05/08/2020 12:00|O3|µg/m3|0
17001002|05/08/2020 13:00|O3|µg/m3|76
17001002|05/08/2020 14:00|O3|µg/m3|86
17001002|05/08/2020 15:00|O3|µg/m3|102
17001002|05/08/2020 16:00|O3|µg/m3|108
17001002|05/08/2020 17:00|O3|µg/m3|108
17001002|05/08/2020 18:00|O3|µg/m3|107
17001002|05/08/2020 19:00|O3|µg/m3|106
17001002|05/08/2020 20:00|O3|µg/m3|96
17001002|05/08/2020 21:00|O3|µg/m3|90
17001002|05/08/2020 22:00|O3|µg/m3|88
17001002|05/08/2020 23:00|O3|µg/m3|89
17001002|06/08/2020 0:00|O3|µg/m3|91
17001002|06/08/2020 1:00|O3|µg/m3|91
17001002|06/08/2020 2:00|O3|µg/m3|94
17001002|06/08/2020 3:00|O3|µg/m3|98
17001002|06/08/2020 4:00|O3|µg/m3|102
17001002|06/08/2020 5:00|O3|µg/m3|99
17001002|06/08/2020 6:00|O3|µg/m3|97
17001002|06/08/2020 7:00|O3|µg/m3|93
17001002|06/08/2020 8:00|O3|µg/m3|82
17001002|06/08/2020 9:00|O3|µg/m3|87
17001002|06/08/2020 10:00|O3|µg/m3|102
17001002|06/08/2020 11:00|O3|µg/m3|115
17001002|06/08/2020 12:00|O3|µg/m3|122
17001002|06/08/2020 13:00|O3|µg/m3|125
17001002|06/08/2020 14:00|O3|µg/m3|126
17001002|06/08/2020 15:00|O3|µg/m3|125
17001002|06/08/2020 16:00|O3|µg/m3|127
17001002|06/08/2020 17:00|O3|µg/m3|126
17001002|06/08/2020 18:00|O3|µg/m3|121
17001002|06/08/2020 19:00|O3|µg/m3|115
17001002|06/08/2020 20:00|O3|µg/m3|98
17001002|06/08/2020 21:00|O3|µg/m3|86
17001002|06/08/2020 22:00|O3|µg/m3|94
17001002|06/08/2020 23:00|O3|µg/m3|102
17001002|07/08/2020 0:00|O3|µg/m3|102
17001002|07/08/2020 1:00|O3|µg/m3|103
17001002|07/08/2020 2:00|O3|µg/m3|102
17001002|07/08/2020 3:00|O3|µg/m3|103
17001002|07/08/2020 4:00|O3|µg/m3|106
17001002|07/08/2020 5:00|O3|µg/m3|103
17001002|07/08/2020 6:00|O3|µg/m3|103
17001002|07/08/2020 7:00|O3|µg/m3|98
17001002|07/08/2020 8:00|O3|µg/m3|90
17001002|07/08/2020 9:00|O3|µg/m3|100
17001002|07/08/2020 10:00|O3|µg/m3|112
17001002|07/08/2020 11:00|O3|µg/m3|120
17001002|07/08/2020 12:00|O3|µg/m3|125
17001002|07/08/2020 13:00|O3|µg/m3|128
17001002|07/08/2020 14:00|O3|µg/m3|130
17001002|07/08/2020 15:00|O3|µg/m3|129
17001002|07/08/2020 16:00|O3|µg/m3|132
17001002|07/08/2020 17:00|O3|µg/m3|129
17001002|07/08/2020 18:00|O3|µg/m3|120
17001002|07/08/2020 19:00|O3|µg/m3|109
17001002|07/08/2020 20:00|O3|µg/m3|86
17001002|07/08/2020 21:00|O3|µg/m3|68
17001002|07/08/2020 22:00|O3|µg/m3|64
17001002|07/08/2020 23:00|O3|µg/m3|68
17001002|08/08/2020 0:00|O3|µg/m3|66
17001002|08/08/2020 1:00|O3|µg/m3|77
17001002|08/08/2020 2:00|O3|µg/m3|66
17001002|08/08/2020 3:00|O3|µg/m3|59
17001002|08/08/2020 4:00|O3|µg/m3|58
17001002|08/08/2020 5:00|O3|µg/m3|34
17001002|08/08/2020 6:00|O3|µg/m3|29
17001002|08/08/2020 7:00|O3|µg/m3|26
17001002|08/08/2020 8:00|O3|µg/m3|45
17001002|08/08/2020 9:00|O3|µg/m3|45
17001002|08/08/2020 10:00|O3|µg/m3|51
17001002|08/08/2020 11:00|O3|µg/m3|68
17001002|08/08/2020 12:00|O3|µg/m3|80
17001002|08/08/2020 13:00|O3|µg/m3|93
17001002|08/08/2020 14:00|O3|µg/m3|104
17001002|08/08/2020 15:00|O3|µg/m3|107
17001002|08/08/2020 16:00|O3|µg/m3|116
17001002|08/08/2020 17:00|O3|µg/m3|111
17001002|08/08/2020 18:00|O3|µg/m3|107
17001002|08/08/2020 19:00|O3|µg/m3|96
17001002|08/08/2020 20:00|O3|µg/m3|81
17001002|08/08/2020 21:00|O3|µg/m3|66
17001002|08/08/2020 22:00|O3|µg/m3|76
17001002|08/08/2020 23:00|O3|µg/m3|81
17001002|09/08/2020 0:00|O3|µg/m3|90
17001002|09/08/2020 1:00|O3|µg/m3|87
17001002|09/08/2020 2:00|O3|µg/m3|84
17001002|09/08/2020 3:00|O3|µg/m3|77
17001002|09/08/2020 4:00|O3|µg/m3|80
17001002|09/08/2020 5:00|O3|µg/m3|88
17001002|09/08/2020 6:00|O3|µg/m3|94
17001002|09/08/2020 7:00|O3|µg/m3|70
17001002|09/08/2020 8:00|O3|µg/m3|71
17001002|09/08/2020 9:00|O3|µg/m3|80
17001002|09/08/2020 10:00|O3|µg/m3|87
17001002|09/08/2020 11:00|O3|µg/m3|91
17001002|09/08/2020 12:00|O3|µg/m3|102
17001002|09/08/2020 13:00|O3|µg/m3|110
17001002|09/08/2020 14:00|O3|µg/m3|105
17001002|09/08/2020 15:00|O3|µg/m3|99
17001002|09/08/2020 16:00|O3|µg/m3|93
17001002|09/08/2020 17:00|O3|µg/m3|87
17001002|09/08/2020 18:00|O3|µg/m3|80
17001002|09/08/2020 19:00|O3|µg/m3|85
17001002|09/08/2020 20:00|O3|µg/m3|74
17001002|09/08/2020 21:00|O3|µg/m3|75
17001002|09/08/2020 22:00|O3|µg/m3|73
17001002|09/08/2020 23:00|O3|µg/m3|62
17001002|10/08/2020 0:00|O3|µg/m3|66
17001002|10/08/2020 1:00|O3|µg/m3|71
17001002|10/08/2020 2:00|O3|µg/m3|67
17001002|10/08/2020 3:00|O3|µg/m3|70
17001002|10/08/2020 4:00|O3|µg/m3|61
17001002|10/08/2020 5:00|O3|µg/m3|50
17001002|10/08/2020 6:00|O3|µg/m3|41
17001002|10/08/2020 7:00|O3|µg/m3|46
17001002|10/08/2020 8:00|O3|µg/m3|55
17001002|10/08/2020 9:00|O3|µg/m3|68
17001002|10/08/2020 10:00|O3|µg/m3|78
17001002|10/08/2020 11:00|O3|µg/m3|81
17001002|10/08/2020 12:00|O3|µg/m3|90
17001002|10/08/2020 13:00|O3|µg/m3|101
17001002|10/08/2020 14:00|O3|µg/m3|103
17001002|10/08/2020 15:00|O3|µg/m3|106
17001002|10/08/2020 16:00|O3|µg/m3|109
17001002|10/08/2020 17:00|O3|µg/m3|111
17001002|10/08/2020 18:00|O3|µg/m3|119
17001002|10/08/2020 19:00|O3|µg/m3|99
17001002|10/08/2020 20:00|O3|µg/m3|93
17001002|10/08/2020 21:00|O3|µg/m3|88
17001002|10/08/2020 22:00|O3|µg/m3|80
17001002|10/08/2020 23:00|O3|µg/m3|90
17001002|11/08/2020 0:00|O3|µg/m3|91
17001002|11/08/2020 1:00|O3|µg/m3|91
17001002|11/08/2020 2:00|O3|µg/m3|83
17001002|11/08/2020 3:00|O3|µg/m3|57
17001002|11/08/2020 4:00|O3|µg/m3|47
17001002|11/08/2020 5:00|O3|µg/m3|32
17001002|11/08/2020 6:00|O3|µg/m3|28
17001002|11/08/2020 7:00|O3|µg/m3|41
17001002|11/08/2020 8:00|O3|µg/m3|60
17001002|11/08/2020 9:00|O3|µg/m3|64
17001002|11/08/2020 10:00|O3|µg/m3|74
17001002|11/08/2020 11:00|O3|µg/m3|85
17001002|11/08/2020 12:00|O3|µg/m3|96
17001002|11/08/2020 13:00|O3|µg/m3|101
17001002|11/08/2020 14:00|O3|µg/m3|109
17001002|11/08/2020 15:00|O3|µg/m3|106
