codigo|nombre|latitud|longitud|ubicacion|altitud
VY|Nulles|41.25095|1.29863|Cooperativa agrària|240
YB|Olot|42.18813|2.47097|Pla de Dalt|433
X4|Barcelona - el Raval|41.3839|2.16775|"Facultat de Geografia i Història. c. Montalegre nº6, 6a"|33
YG|Tírvia|42.51881|1.24244|Heliport de Tírvia|954
YD|les Borges Blanques|41.51135|0.85617|Escola Agrària de les Borges Blanques|283
VD|el Canós|41.68939|1.20381|Camí de la Figuerosa|429
WX|Camarasa|41.9178|0.88175|Camarasa|668
XV|Sant Cugat del Vallès - CAR|41.48311|2.07956|Centre d'Alt Rendiment|158
U1|Cabanes|42.30648|2.95481|"Mas St. Feliu, S.A., camí de St. Feli, s/n"|31
ZD|la Tosa d'Alp 2500|42.32211|1.89716|Tosa d'Alp|2478
CY|Muntanyola|41.87813|2.17873|Esglèsia de St. Quirze i Sta. Julita|816
D6|Portbou|42.43515|3.16622|Punta de l'Aucell  (zona fronterera)|196
D3|Vallirana|41.38197|1.93564|C. Arquitecte Baldric|252
Z1|Bonaigua (2.266 m)|42.64691|0.98486|Port de la Bonaigua|2266
X1|Falset|41.15374|0.81953|Abocador comarcal. Crta de Porrera|359
VH|Gimenells|41.65814|0.39301|IRTA - Estació de Gimenells|259
WK|Alfarràs|41.81949|0.57768|"Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar)"|268
YL|Riudecanyes|41.1227|0.96951|els Gorgs|170
CT|el Pont de Suert|42.39811|0.74362|Depuradora municipal|823
XR|Prades|41.31481|0.98161|La Comanda|928
H1|Òdena|41.58642|1.65306|Aeròdrom d'Òdena|333
UE|Torroella de Montgrí|42.02306|3.15719|la Feixa Gata|4
W4|la Granada|41.36619|1.72857|Rasa de Sagols|240
X3|Alguaire|41.74281|0.5358|Aeròdrom|370
US|Alcanar|40.55786|0.52329|El Mas d'en Serra - Barranc de St. Jaume|24
KP|Fogars de la Selva|41.73894|2.69436|Can Simó|36
XD|Ulldemolins|41.32|0.8857|Pigrossos|687
XY|Alcarràs|41.56509|0.55027|Central del revés|122
CJ|Organyà|42.21624|1.33132|Càmping municipal|566.5
U9|l'Aldea|40.76947|0.61635|Barranc del Mas Roig|62
D1|Margalef|41.28521|0.75383|Dipòsit d'aigua|404
XG|Parets del Vallès|41.56734|2.22619|CEIP Pau Vila|123
UF|PN del Garraf - el Rascler|41.28832|1.90775|El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf|573
Z3|Malniu (2.230 m)|42.46605|1.7785|Estany de Malniu|2230
CE|els Hostalets de Pierola|41.53109|1.80813|Abocador de residus|316
CU|Vielha|42.69856|0.79397|Prat de Tixineret|1002
WI|Maials|41.35741|0.4809|Paratge d'Argelagar|350
UW|els Alfacs|40.62725|0.65922|"IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5"|0
CC|Orís|42.07398|2.20862|Abocador comarcal|626
W8|Blancafort|41.44237|1.15998|"Cooperativa vinícola, pl.del Sindicat"|438
C6|Castellnou de Seana|41.6566|0.95172|Abocador comarcal|264
WO|la Bisbal del Penedès|41.27151|1.46717|Fondo de Cal Sumoi|185
VU|Rellinars|41.63286|1.91718|Puig de la Ballesta|421
WQ|Montsec d'Ares (1.572 m)|42.0513|0.72952|Serra de la Corona - Centre d'Observació de l'Univers|1572
XQ|Tremp|42.16252|0.88814|Conillera de Joncar|473
WB|Albesa|41.76036|0.67022|"Partida l'Eral, camí del Torricó"|267
DQ|Vila-rodona|41.30728|1.36259|Nova estació|287
UI|Gisclareny|42.26477|1.76218|Coll de la Bena - Font del Cabrer|1386
DK|Torredembarra|41.14677|1.41846|Aiguamolls els Muntanyans|2
J5|Pantà de Darnius - Boadella|42.34215|2.83423|Presa del Pantà de Darnius - Boadella|158
Y9|Port de Barcelona - ZAL Prat|41.31723|2.13091|Port de Barcelona|4
WG|Algerri|41.80104|0.64804|"Comunitat de regants d'Algerri, ctra. d'Albesa, s/n"|301
UJ|Santa Coloma de Queralt|41.52879|1.3683|Partida la Cabana|709
MV|Guixers - Valls|42.13598|1.67295|Cal Teuler|845
VV|Sant Llorenç Savall|41.68129|2.02647|Masia Can Brossa|528
UP|Cabrils|41.51773|2.37702|"IRTA Cabrils, crta. de Vilassar a Cabrils, s/n"|81
XA|la Panadella|41.60257|1.4007|La Creu del Vent|785
VC|Pantà de Riba-roja|41.24415|0.43266|Presa de Riba-roja|69
C9|Mas de Barberans|40.71825|0.39988|Abocador comarcal|240
Y4|Alinyà|42.17426|1.42775|Tossal de Salamó|1162
Z5|Certascan (2.400 m)|42.70029|1.27201|Certascan|2400
